alias,revenue,major,count,unique_orders,unique_clients,average_order_revenue,major_per_product,major_percent,average_number_of_products
Янв 2017,182272493.0,35912008.0,307702,72645,54448,2509.1,116.7,19.7,4.2
Фев 2017,156075993.0,31242621.0,273989,66785,50819,2337.0,114.0,20.0,4.1
Март 2017,205740473.0,43305776.0,370006,84446,61590,2436.4,117.0,21.0,4.4
Апр 2017,194512652.0,44508661.0,377152,80758,58871,2408.6,118.0,22.9,4.7
Май 2017,205550107.0,43466486.0,404860,87161,63305,2358.3,107.4,21.1,4.6
Июнь 2017,180399372.0,33732280.0,352054,74270,56121,2429.0,95.8,18.7,4.7
Июль 2017,184757724.0,34719115.0,356657,75582,57458,2444.5,97.3,18.8,4.7
Август 2017,203334845.0,36957622.0,395998,82799,63813,2455.8,93.3,18.2,4.8
Сентябрь 2017,202637453.0,42690762.0,376268,79781,62542,2539.9,113.5,21.1,4.7
Октябрь 2017,260716157.0,53810121.0,464618,103364,78733,2522.3,115.8,20.6,4.5
Ноябрь 2017,330690058.0,60911081.0,516966,129422,818,2555.1,117.8,18.4,4.0
Декабрь 2017,409529789.0,81645780.0,567538,166604,916,2458.1,143.9,19.9,3.4
Янв 2018,164794977.0,29901030.0,272902,67800,55568,2430.6,109.6,18.1,4.0
Фев 2018,237480473.0,37549685.0,349800,94114,74888,2523.3,107.3,15.8,3.7
