alias,revenue,major,count,unique_orders,unique_clients,average_order_revenue,major_per_product,major_percent,average_number_of_products
Янв 2017,66341591.0,12786796.0,100034,29853,25609,2222.3,127.8,19.3,3.4
Фев 2017,55626963.0,10929551.0,85312,26336,23065,2112.2,128.1,19.6,3.2
Март 2017,76353218.0,14425319.0,119993,34310,29215,2225.4,120.2,18.9,3.5
Апр 2017,78812542.0,16737997.0,140274,35644,30032,2211.1,119.3,21.2,3.9
Май 2017,86374728.0,16414796.0,159282,38476,32182,2244.9,103.1,19.0,4.1
Июнь 2017,78556347.0,12977968.0,142114,34704,29949,2263.6,91.3,16.5,4.1
Июль 2017,82732860.0,13774658.0,152447,37180,31992,2225.2,90.4,16.6,4.1
Август 2017,92516817.0,13441255.0,181307,41968,36139,2204.5,74.1,14.5,4.3
Сентябрь 2017,89698830.0,15078187.0,165621,40298,35080,2225.9,91.0,16.8,4.1
Октябрь 2017,111932160.0,18332618.0,198656,51276,43727,2182.9,92.3,16.4,3.9
Ноябрь 2017,157073002.0,23094169.0,245379,69066,319,2274.2,94.1,14.7,3.6
Декабрь 2017,178311335.0,31621648.0,252272,82159,295,2170.3,125.3,17.7,3.1
Янв 2018,50798077.0,8222014.0,87989,23896,21619,2125.8,93.4,16.2,3.7
Фев 2018,113094037.0,15429691.0,164593,49715,43127,2274.8,93.7,13.6,3.3
