Дата_день,Количество_размещенные,Количество_выкупленные
2017-01-01,4,1
2017-01-02,1011,444
2017-01-03,677,308
2017-01-04,588,266
2017-01-05,716,306
2017-01-06,633,291
2017-01-07,725,327
2017-01-08,989,408
2017-01-09,1164,447
2017-01-10,1323,567
2017-01-11,1262,515
2017-01-12,1535,594
2017-01-13,1112,432
2017-01-14,959,360
2017-01-15,1045,442
2017-01-16,1475,554
2017-01-17,2543,1205
2017-01-18,2777,1210
2017-01-19,1915,730
2017-01-20,1712,702
2017-01-21,1689,717
2017-01-22,1638,756
2017-01-23,911,393
2017-01-24,5135,2684
2017-01-25,3466,1749
2017-01-26,2253,1170
2017-01-27,1100,530
2017-01-28,907,425
2017-01-29,1101,492
2017-01-30,6134,3693
2017-01-31,5173,2778
2017-02-01,3058,1578
2017-02-02,1569,677
2017-02-03,1292,509
2017-02-04,1090,510
2017-02-05,1339,635
2017-02-06,1629,645
2017-02-07,2010,892
2017-02-08,1851,834
2017-02-09,1471,650
2017-02-10,937,377
2017-02-11,1614,689
2017-02-12,1302,652
2017-02-13,1775,827
2017-02-14,4231,2117
2017-02-15,3510,1646
2017-02-16,2530,1228
2017-02-17,1290,523
2017-02-18,980,451
2017-02-19,1572,660
2017-02-20,1800,629
2017-02-21,1649,615
2017-02-22,2376,1013
2017-02-23,2829,1280
2017-02-24,2249,989
2017-02-25,2135,959
2017-02-26,1800,887
2017-02-27,1685,761
2017-02-28,2116,928
2017-03-01,2005,752
2017-03-02,1842,713
2017-03-03,1930,713
2017-03-04,1580,661
2017-03-05,1876,714
2017-03-06,1958,747
2017-03-07,1708,647
2017-03-08,965,337
2017-03-09,1730,691
2017-03-10,1312,547
2017-03-11,977,389
2017-03-12,1139,471
2017-03-13,1329,556
2017-03-14,1304,573
2017-03-15,4673,2561
2017-03-16,3066,1527
2017-03-17,1953,970
2017-03-18,977,476
2017-03-19,1400,699
2017-03-20,1314,595
2017-03-21,4126,2166
2017-03-22,5856,2929
2017-03-23,4500,2198
2017-03-24,1214,558
2017-03-25,827,347
2017-03-26,1004,505
2017-03-27,1107,536
2017-03-28,1547,686
2017-03-29,1197,496
2017-03-30,1232,534
2017-03-31,1302,632
2017-04-01,1139,491
2017-04-02,1249,511
2017-04-03,1729,754
2017-04-04,1574,748
2017-04-05,1610,706
2017-04-06,1490,600
2017-04-07,1459,568
2017-04-08,926,391
2017-04-09,1174,633
2017-04-10,1612,746
2017-04-11,5568,2944
2017-04-12,5103,2633
2017-04-13,2633,1339
2017-04-14,1326,584
2017-04-15,841,385
2017-04-16,992,436
2017-04-17,1411,588
2017-04-18,1613,655
2017-04-19,5346,2300
2017-04-20,5266,2514
2017-04-21,4028,1897
2017-04-22,1440,650
2017-04-23,1746,791
2017-04-24,1913,860
2017-04-25,2125,944
2017-04-26,1556,641
2017-04-27,1489,661
