Дата_день,Количество_размещенные,Количество_выкупленные
2017-01-01,1,0
2017-01-02,550,199
2017-01-03,543,126
2017-01-04,492,157
2017-01-05,431,150
2017-01-06,552,164
2017-01-07,504,97
2017-01-08,724,134
2017-01-09,997,238
2017-01-10,913,220
2017-01-11,861,229
2017-01-12,923,246
2017-01-13,788,207
2017-01-14,683,171
2017-01-15,830,164
2017-01-16,2076,677
2017-01-17,1607,487
2017-01-18,1394,396
2017-01-19,796,203
2017-01-20,816,271
2017-01-21,723,192
2017-01-22,725,248
2017-01-23,588,164
2017-01-24,2253,975
2017-01-25,1502,563
2017-01-26,1093,351
2017-01-27,565,145
2017-01-28,515,147
2017-01-29,476,89
2017-01-30,1670,667
2017-01-31,1785,597
2017-02-01,1189,393
2017-02-02,760,187
2017-02-03,633,246
2017-02-04,449,114
2017-02-05,611,162
2017-02-06,2174,686
2017-02-07,2128,730
2017-02-08,1777,489
2017-02-09,1063,322
2017-02-10,499,130
2017-02-11,762,168
2017-02-12,727,177
2017-02-13,719,179
2017-02-14,1520,696
2017-02-15,1402,589
2017-02-16,1068,333
2017-02-17,585,144
2017-02-18,402,107
2017-02-19,870,233
2017-02-20,836,210
2017-02-21,714,183
2017-02-22,494,138
2017-02-23,473,170
2017-02-24,481,173
2017-02-25,563,184
2017-02-26,586,206
2017-02-27,784,168
2017-02-28,774,229
2017-03-01,932,253
2017-03-02,793,193
2017-03-03,971,245
2017-03-04,814,207
2017-03-05,756,190
2017-03-06,2749,1017
2017-03-07,2026,701
2017-03-08,1202,408
2017-03-09,1414,449
2017-03-10,881,227
2017-03-11,728,185
2017-03-12,665,211
2017-03-13,924,273
2017-03-14,913,288
2017-03-15,1833,906
2017-03-16,1641,759
2017-03-17,1108,405
2017-03-18,522,195
2017-03-19,697,246
2017-03-20,870,330
2017-03-21,1191,451
2017-03-22,1148,443
2017-03-23,1403,546
2017-03-24,678,270
2017-03-25,507,143
2017-03-26,673,237
2017-03-27,892,327
2017-03-28,1003,334
2017-03-29,910,254
2017-03-30,788,273
2017-03-31,766,246
2017-04-01,731,275
2017-04-02,799,307
2017-04-03,2123,837
2017-04-04,1512,577
2017-04-05,1401,577
2017-04-06,970,424
2017-04-07,934,332
2017-04-08,486,152
2017-04-09,555,187
2017-04-10,808,354
2017-04-11,1631,742
2017-04-12,1297,671
2017-04-13,1087,415
2017-04-14,704,269
2017-04-15,484,176
2017-04-16,414,144
2017-04-17,1133,423
2017-04-18,1300,582
2017-04-19,1168,501
2017-04-20,1049,496
2017-04-21,893,337
2017-04-22,561,218
2017-04-23,898,332
2017-04-24,945,429
2017-04-25,1034,405
2017-04-26,841,314
2017-04-27,880,309
2017-04-28,879,326
2017-04-29,545,193
2017-04-30,609,176
2017-05-01,430,165
2017-05-02,1259,616
2017-05-03,1919,891
2017-05-04,1658,777
2017-05-05,1340,669
2017-05-06,813,392
2017-05-07,390,197
2017-05-08,839,362
2017-05-09,744,284
2017-05-10,1022,337
2017-05-11,1443,663
2017-05-12,1043,432
2017-05-13,872,320
2017-05-14,834,370
2017-05-15,988,403
2017-05-16,1277,576
2017-05-17,2127,939
2017-05-18,1488,561
2017-05-19,1023,413
2017-05-20,609,258
2017-05-21,799,366
2017-05-22,831,298
2017-05-23,1779,914
2017-05-24,1241,565
2017-05-25,1404,667
2017-05-26,734,349
2017-05-27,751,357
2017-05-28,826,406
2017-05-29,944,471
2017-05-30,895,372
2017-05-31,997,445
2017-06-01,941,368
2017-06-02,707,293
2017-06-03,666,311
2017-06-04,660,311
2017-06-05,1006,450
2017-06-06,1094,458
2017-06-07,975,430
2017-06-08,846,369
2017-06-09,853,347
2017-06-10,565,222
2017-06-11,713,351
2017-06-12,771,360
2017-06-13,2003,1037
2017-06-14,1979,972
2017-06-15,1633,813
2017-06-16,990,408
2017-06-17,425,201
2017-06-18,669,280
2017-06-19,961,340
2017-06-20,1814,985
2017-06-21,1889,970
2017-06-22,1184,606
2017-06-23,798,266
2017-06-24,832,295
2017-06-25,1002,360
2017-06-26,1327,571
2017-06-27,1549,600
2017-06-28,1702,698
2017-06-29,1089,486
2017-06-30,1152,476
2017-07-01,1024,396
2017-07-02,939,385
2017-07-03,1275,468
2017-07-04,1199,418
2017-07-05,1137,420
2017-07-06,852,321
2017-07-07,878,285
2017-07-08,649,250
2017-07-09,790,300
2017-07-10,938,375
2017-07-11,1372,662
2017-07-12,1354,701
2017-07-13,1000,421
2017-07-14,516,188
2017-07-15,694,224
2017-07-16,631,297
2017-07-17,2050,1057
2017-07-18,2468,1179
2017-07-19,1708,858
2017-07-20,1072,422
2017-07-21,817,311
2017-07-22,817,406
2017-07-23,625,282
2017-07-24,783,303
2017-07-25,1120,436
2017-07-26,966,412
2017-07-27,1322,549
2017-07-28,947,458
2017-07-29,876,521
2017-07-30,1111,527
2017-07-31,1045,503
2017-08-01,1273,518
2017-08-02,1167,410
2017-08-03,984,427
2017-08-04,1075,484
2017-08-05,807,276
2017-08-06,1065,522
2017-08-07,2389,1190
2017-08-08,2284,1288
2017-08-09,1621,800
2017-08-10,1242,487
2017-08-11,926,420
2017-08-12,675,352
2017-08-13,678,257
2017-08-14,1096,444
2017-08-15,1623,960
2017-08-16,1612,793
2017-08-17,1340,671
2017-08-18,837,281
2017-08-19,769,267
2017-08-20,622,289
2017-08-21,1017,398
2017-08-22,1219,561
2017-08-23,1220,591
2017-08-24,1456,854
2017-08-25,1405,749
2017-08-26,905,401
2017-08-27,731,252
2017-08-28,1532,628
2017-08-29,1396,726
2017-08-30,1428,614
2017-08-31,1055,386
2017-09-01,670,328
2017-09-02,698,303
2017-09-03,824,359
2017-09-04,988,319
2017-09-05,1358,539
2017-09-06,1343,500
2017-09-07,1422,595
2017-09-08,1252,556
2017-09-09,878,404
2017-09-10,979,321
2017-09-11,1516,648
2017-09-12,2623,1346
2017-09-13,2695,1285
2017-09-14,2089,1059
2017-09-15,1292,580
2017-09-16,1037,490
2017-09-17,926,396
