Дата_день,Количество_размещенные,Количество_выкупленные
2017-01-01,0,0
2017-01-02,6,2
2017-01-03,6,2
2017-01-04,4,1
2017-01-05,5,4
2017-01-06,4,0
2017-01-07,4,1
2017-01-08,4,0
2017-01-09,13,2
2017-01-10,17,1
2017-01-11,4,0
2017-01-12,7,6
2017-01-13,9,4
2017-01-14,7,2
2017-01-15,10,4
2017-01-16,15,5
2017-01-17,14,7
2017-01-18,18,6
2017-01-19,5,3
2017-01-20,5,1
2017-01-21,6,3
2017-01-22,4,3
2017-01-23,10,6
2017-01-24,18,9
2017-01-25,17,14
2017-01-26,11,8
2017-01-27,8,6
2017-01-28,11,4
2017-01-29,15,8
2017-01-30,15,4
2017-01-31,14,6
2017-02-01,18,11
2017-02-02,9,4
2017-02-03,9,5
2017-02-04,2,1
2017-02-05,9,4
2017-02-06,10,7
2017-02-07,9,6
2017-02-08,9,6
2017-02-09,17,7
2017-02-10,12,6
2017-02-11,13,7
2017-02-12,22,7
2017-02-13,18,7
2017-02-14,22,13
2017-02-15,20,13
2017-02-16,15,4
2017-02-17,21,4
2017-02-18,21,7
2017-02-19,21,7
2017-02-20,16,6
2017-02-21,21,9
2017-02-22,18,6
2017-02-23,22,4
2017-02-24,26,9
2017-02-25,20,8
2017-02-26,34,19
2017-02-27,24,10
2017-02-28,41,13
2017-03-01,29,11
2017-03-02,35,15
2017-03-03,29,14
2017-03-04,46,20
2017-03-05,48,22
2017-03-06,38,19
2017-03-07,42,15
2017-03-08,30,12
2017-03-09,89,44
2017-03-10,70,25
2017-03-11,63,19
2017-03-12,56,28
2017-03-13,85,38
2017-03-14,71,28
2017-03-15,91,47
2017-03-16,85,41
2017-03-17,88,37
2017-03-18,65,30
2017-03-19,96,43
2017-03-20,61,27
2017-03-21,75,25
2017-03-22,91,40
2017-03-23,107,43
2017-03-24,81,42
2017-03-25,62,28
2017-03-26,87,32
2017-03-27,75,33
2017-03-28,58,26
2017-03-29,54,22
2017-03-30,53,26
2017-03-31,76,29
2017-04-01,89,58
2017-04-02,52,26
2017-04-03,43,18
2017-04-04,60,37
2017-04-05,50,29
2017-04-06,54,30
2017-04-07,69,31
2017-04-08,63,30
2017-04-09,75,35
2017-04-10,57,27
2017-04-11,107,50
2017-04-12,93,55
2017-04-13,86,46
2017-04-14,56,25
2017-04-15,55,23
2017-04-16,45,20
2017-04-17,62,28
2017-04-18,81,37
2017-04-19,48,22
2017-04-20,62,30
2017-04-21,55,23
2017-04-22,41,24
2017-04-23,65,29
2017-04-24,44,23
2017-04-25,54,25
2017-04-26,73,29
2017-04-27,57,20
2017-04-28,62,22
