Дата_день,Количество_размещенные,Количество_выкупленные
2017-01-01,1,0
2017-01-02,86,47
2017-01-03,72,37
2017-01-04,62,34
2017-01-05,55,25
2017-01-06,87,34
2017-01-07,94,29
2017-01-08,101,38
2017-01-09,90,29
2017-01-10,89,44
2017-01-11,78,41
2017-01-12,71,28
2017-01-13,75,25
2017-01-14,46,25
2017-01-15,77,32
2017-01-16,91,38
2017-01-17,68,42
2017-01-18,94,44
2017-01-19,56,28
2017-01-20,68,26
2017-01-21,106,57
2017-01-22,99,44
2017-01-23,59,31
2017-01-24,114,71
2017-01-25,97,58
2017-01-26,57,31
2017-01-27,76,35
2017-01-28,57,27
2017-01-29,68,38
2017-01-30,106,55
2017-01-31,111,67
2017-02-01,83,41
2017-02-02,66,30
2017-02-03,86,47
2017-02-04,116,44
2017-02-05,102,50
2017-02-06,90,55
2017-02-07,77,37
2017-02-08,88,37
2017-02-09,83,39
2017-02-10,51,33
2017-02-11,81,34
2017-02-12,80,40
2017-02-13,73,33
2017-02-14,91,53
2017-02-15,89,53
2017-02-16,83,34
2017-02-17,82,33
2017-02-18,67,33
2017-02-19,92,48
2017-02-20,65,31
2017-02-21,74,38
2017-02-22,77,30
2017-02-23,72,37
2017-02-24,66,32
2017-02-25,77,50
2017-02-26,81,39
2017-02-27,65,25
2017-02-28,92,38
2017-03-01,87,38
2017-03-02,100,58
2017-03-03,75,34
2017-03-04,91,40
2017-03-05,80,31
2017-03-06,77,44
2017-03-07,95,50
2017-03-08,66,33
2017-03-09,74,43
2017-03-10,62,39
2017-03-11,80,46
2017-03-12,97,48
2017-03-13,91,43
2017-03-14,77,43
2017-03-15,109,64
2017-03-16,91,58
2017-03-17,73,44
2017-03-18,70,41
2017-03-19,99,47
2017-03-20,70,35
2017-03-21,67,34
2017-03-22,74,28
2017-03-23,105,48
2017-03-24,66,38
2017-03-25,64,30
2017-03-26,112,50
2017-03-27,71,29
2017-03-28,95,45
2017-03-29,94,50
2017-03-30,79,38
2017-03-31,79,31
2017-04-01,90,48
2017-04-02,117,53
2017-04-03,91,47
2017-04-04,107,47
2017-04-05,104,57
2017-04-06,81,38
2017-04-07,81,37
2017-04-08,105,56
2017-04-09,100,58
2017-04-10,95,41
2017-04-11,108,62
2017-04-12,116,66
2017-04-13,85,40
2017-04-14,60,27
2017-04-15,67,28
2017-04-16,85,38
2017-04-17,102,39
2017-04-18,86,36
2017-04-19,96,44
2017-04-20,89,45
2017-04-21,122,52
2017-04-22,88,47
2017-04-23,122,69
2017-04-24,112,55
2017-04-25,108,60
2017-04-26,86,37
2017-04-27,82,29
2017-04-28,84,30
2017-04-29,94,59
2017-04-30,85,42
2017-05-01,85,31
2017-05-02,88,35
2017-05-03,70,34
2017-05-04,74,29
2017-05-05,85,41
2017-05-06,75,40
2017-05-07,71,35
2017-05-08,117,49
2017-05-09,56,31
2017-05-10,84,41
2017-05-11,178,88
2017-05-12,93,47
2017-05-13,148,69
2017-05-14,112,68
2017-05-15,94,36
2017-05-16,94,54
2017-05-17,172,86
2017-05-18,90,46
2017-05-19,90,42
2017-05-20,85,49
2017-05-21,115,59
2017-05-22,122,66
2017-05-23,149,77
2017-05-24,84,47
2017-05-25,140,77
2017-05-26,80,41
2017-05-27,90,45
2017-05-28,112,73
2017-05-29,113,68
2017-05-30,88,48
2017-05-31,112,49
2017-06-01,90,46
2017-06-02,89,46
2017-06-03,112,52
2017-06-04,96,55
2017-06-05,141,70
2017-06-06,152,43
2017-06-07,116,55
2017-06-08,123,51
2017-06-09,75,42
2017-06-10,104,53
2017-06-11,103,52
2017-06-12,114,58
2017-06-13,91,41
2017-06-14,119,71
2017-06-15,117,66
2017-06-16,96,55
2017-06-17,81,42
2017-06-18,125,69
2017-06-19,72,39
2017-06-20,128,78
2017-06-21,138,76
2017-06-22,97,56
2017-06-23,99,55
2017-06-24,85,41
2017-06-25,83,43
2017-06-26,62,33
2017-06-27,74,37
2017-06-28,104,52
2017-06-29,95,47
2017-06-30,84,51
2017-07-01,92,51
2017-07-02,84,47
2017-07-03,89,48
2017-07-04,104,52
2017-07-05,95,57
2017-07-06,120,54
2017-07-07,81,42
2017-07-08,79,44
2017-07-09,115,52
2017-07-10,69,40
2017-07-11,127,78
2017-07-12,95,62
2017-07-13,104,41
2017-07-14,73,39
2017-07-15,97,45
2017-07-16,91,40
2017-07-17,82,52
2017-07-18,109,58
2017-07-19,92,47
2017-07-20,89,58
2017-07-21,77,36
2017-07-22,119,76
2017-07-23,89,55
2017-07-24,85,48
2017-07-25,90,50
2017-07-26,106,63
2017-07-27,88,49
2017-07-28,81,52
2017-07-29,86,48
2017-07-30,94,56
2017-07-31,106,69
2017-08-01,103,66
2017-08-02,98,51
2017-08-03,82,54
2017-08-04,89,48
2017-08-05,71,39
2017-08-06,86,48
2017-08-07,86,46
2017-08-08,77,40
2017-08-09,108,63
2017-08-10,75,51
2017-08-11,67,38
2017-08-12,60,36
2017-08-13,68,46
2017-08-14,76,49
2017-08-15,101,59
2017-08-16,102,60
2017-08-17,89,39
2017-08-18,80,30
2017-08-19,84,27
2017-08-20,90,54
2017-08-21,86,45
2017-08-22,94,47
2017-08-23,92,46
2017-08-24,93,49
2017-08-25,86,42
2017-08-26,91,48
2017-08-27,65,39
2017-08-28,122,51
2017-08-29,88,43
2017-08-30,78,39
2017-08-31,82,40
2017-09-01,55,27
2017-09-02,97,67
2017-09-03,86,51
2017-09-04,63,44
2017-09-05,97,54
2017-09-06,83,31
2017-09-07,92,46
2017-09-08,105,58
2017-09-09,73,42
2017-09-10,90,60
2017-09-11,94,48
2017-09-12,114,61
2017-09-13,98,52
2017-09-14,87,45
2017-09-15,73,39
2017-09-16,85,52
2017-09-17,79,48
2017-09-18,69,35
2017-09-19,83,54
2017-09-20,57,31
2017-09-21,69,43
2017-09-22,106,67
2017-09-23,103,59
2017-09-24,101,47
2017-09-25,81,45
2017-09-26,96,60
2017-09-27,109,66
2017-09-28,93,45
2017-09-29,58,38
2017-09-30,129,66
2017-10-01,107,57
2017-10-02,97,58
2017-10-03,77,48
2017-10-04,85,41
2017-10-05,116,61
2017-10-06,84,40
2017-10-07,81,53
2017-10-08,132,95
2017-10-09,101,44
2017-10-10,51,32
2017-10-11,118,64
2017-10-12,96,44
2017-10-13,78,26
2017-10-14,102,64
2017-10-15,143,72
2017-10-16,111,65
2017-10-17,118,78
2017-10-18,119,81
2017-10-19,75,48
2017-10-20,77,46
2017-10-21,69,47
2017-10-22,113,57
2017-10-23,101,49
2017-10-24,98,49
2017-10-25,65,35
2017-10-26,88,47
2017-10-27,82,47
2017-10-28,94,55
2017-10-29,137,65
2017-10-30,119,55
2017-10-31,102,54
2017-11-01,97,58
2017-11-02,93,43
2017-11-03,107,53
2017-11-04,127,72
2017-11-05,139,86
2017-11-06,146,81
2017-11-07,124,61
2017-11-08,103,45
2017-11-09,112,48
2017-11-10,137,84
2017-11-11,107,62
2017-11-12,136,91
2017-11-13,99,44
2017-11-14,90,47
2017-11-15,93,41
2017-11-16,100,48
2017-11-17,102,44
2017-11-18,126,69
2017-11-19,131,81
2017-11-20,90,36
2017-11-21,126,73
2017-11-22,141,78
2017-11-23,121,59
2017-11-24,123,75
2017-11-25,127,83
2017-11-26,1138,97
2017-11-27,90,48
2017-11-28,93,51
2017-11-29,108,59
2017-11-30,91,47
2017-12-01,101,45
2017-12-02,106,59
2017-12-03,110,72
2017-12-04,135,70
2017-12-05,115,58
2017-12-06,117,59
2017-12-07,149,79
2017-12-08,109,69
2017-12-09,117,58
2017-12-10,142,76
2017-12-11,123,69
2017-12-12,109,64
2017-12-13,133,73
2017-12-14,97,50
2017-12-15,120,64
2017-12-16,86,33
2017-12-17,139,89
2017-12-18,137,63
2017-12-19,127,51
2017-12-20,118,61
2017-12-21,95,34
2017-12-22,159,65
2017-12-23,119,56
2017-12-24,144,69
2017-12-25,136,64
2017-12-26,123,62
2017-12-27,87,40
2017-12-28,99,33
2017-12-29,68,30
2017-12-30,50,27
2017-12-31,40,26
2018-01-01,0,0
2018-01-02,0,0
2018-01-03,1,1
2018-01-04,0,0
2018-01-05,0,0
2018-01-06,0,0
2018-01-07,0,0
2018-01-08,1,1
2018-01-09,18,14
2018-01-10,13,9
2018-01-11,22,12
2018-01-12,11,9
2018-01-13,24,14
2018-01-14,80,47
2018-01-15,77,25
2018-01-16,65,33
2018-01-17,62,27
2018-01-18,89,44
2018-01-19,72,19
2018-01-20,70,21
2018-01-21,70,19
2018-01-22,64,19
2018-01-23,142,21
2018-01-24,125,12
2018-01-25,88,13
2018-01-26,117,3
2018-01-27,124,8
2018-01-28,125,6
2018-01-29,111,6
2018-01-30,135,0
2018-01-31,122,0
2018-02-01,104,61
2018-02-02,122,70
2018-02-03,97,63
2018-02-04,149,87
2018-02-05,99,56
2018-02-06,127,90
2018-02-07,100,64
2018-02-08,147,82
2018-02-09,91,44
2018-02-10,125,78
2018-02-11,139,78
2018-02-12,111,67
2018-02-13,111,51
2018-02-14,124,73
2018-02-15,123,71
2018-02-16,93,56
2018-02-17,109,58
2018-02-18,124,83
2018-02-19,113,68
2018-02-20,123,75
2018-02-21,127,64
2018-02-22,91,48
2018-02-23,118,78
2018-02-24,136,93
2018-02-25,118,73
2018-02-26,137,85
2018-02-27,130,85
2018-02-28,121,56
