Дата_день,Количество_размещенные,Количество_выкупленные
2017-01-01,5,2
2017-01-02,325,138
2017-01-03,237,98
2017-01-04,236,114
2017-01-05,227,93
2017-01-06,258,96
2017-01-07,257,93
2017-01-08,300,115
2017-01-09,332,127
2017-01-10,389,158
2017-01-11,319,130
2017-01-12,368,140
2017-01-13,316,110
2017-01-14,308,128
2017-01-15,357,148
2017-01-16,445,181
2017-01-17,402,197
2017-01-18,452,179
2017-01-19,293,121
2017-01-20,335,140
2017-01-21,372,171
2017-01-22,377,173
2017-01-23,235,113
2017-01-24,746,389
2017-01-25,524,293
2017-01-26,381,213
2017-01-27,302,157
2017-01-28,288,125
2017-01-29,321,169
2017-01-30,772,431
2017-01-31,592,352
2017-02-01,439,212
2017-02-02,308,137
2017-02-03,344,149
2017-02-04,347,133
2017-02-05,370,172
2017-02-06,409,208
2017-02-07,383,168
2017-02-08,381,146
2017-02-09,346,160
2017-02-10,240,112
2017-02-11,368,189
2017-02-12,369,171
2017-02-13,387,161
2017-02-14,597,331
2017-02-15,535,295
2017-02-16,412,211
2017-02-17,314,134
2017-02-18,293,122
2017-02-19,405,177
2017-02-20,372,141
2017-02-21,336,151
2017-02-22,338,147
2017-02-23,313,131
2017-02-24,317,148
2017-02-25,299,161
2017-02-26,363,173
2017-02-27,363,176
2017-02-28,376,170
2017-03-01,400,173
2017-03-02,402,181
2017-03-03,385,171
2017-03-04,427,212
2017-03-05,423,188
2017-03-06,403,202
2017-03-07,416,194
2017-03-08,328,152
2017-03-09,486,224
2017-03-10,388,172
2017-03-11,382,159
2017-03-12,408,194
2017-03-13,473,216
2017-03-14,474,205
2017-03-15,692,363
2017-03-16,611,343
2017-03-17,460,219
2017-03-18,344,181
2017-03-19,521,242
2017-03-20,389,151
2017-03-21,418,183
2017-03-22,422,175
2017-03-23,544,226
2017-03-24,355,173
2017-03-25,331,155
2017-03-26,436,197
2017-03-27,465,213
2017-03-28,450,201
2017-03-29,386,171
2017-03-30,371,166
2017-03-31,390,145
2017-04-01,394,214
2017-04-02,470,229
2017-04-03,470,216
2017-04-04,447,223
2017-04-05,485,233
2017-04-06,413,199
2017-04-07,418,182
2017-04-08,425,189
2017-04-09,451,240
2017-04-10,454,206
2017-04-11,578,306
2017-04-12,661,339
2017-04-13,476,242
2017-04-14,350,148
2017-04-15,301,137
2017-04-16,369,173
2017-04-17,482,218
2017-04-18,479,220
2017-04-19,475,201
2017-04-20,470,205
2017-04-21,548,231
2017-04-22,379,163
2017-04-23,487,248
2017-04-24,528,251
2017-04-25,495,233
2017-04-26,427,196
2017-04-27,422,151
2017-04-28,408,181
2017-04-29,343,164
2017-04-30,373,170
2017-05-01,348,159
2017-05-02,476,189
2017-05-03,505,217
2017-05-04,486,204
2017-05-05,462,226
2017-05-06,360,167
2017-05-07,307,136
2017-05-08,468,202
2017-05-09,282,136
2017-05-10,361,150
2017-05-11,694,314
2017-05-12,446,186
2017-05-13,437,197
2017-05-14,428,207
2017-05-15,454,214
2017-05-16,416,200
2017-05-17,695,317
2017-05-18,461,201
2017-05-19,463,194
2017-05-20,423,195
2017-05-21,521,256
2017-05-22,547,244
2017-05-23,698,365
2017-05-24,468,238
2017-05-25,619,292
2017-05-26,377,176
2017-05-27,536,244
2017-05-28,488,276
2017-05-29,437,236
2017-05-30,467,232
2017-05-31,493,212
2017-06-01,440,189
2017-06-02,471,209
2017-06-03,457,206
2017-06-04,412,201
2017-06-05,588,290
2017-06-06,612,222
2017-06-07,469,217
2017-06-08,492,171
2017-06-09,464,186
2017-06-10,386,154
2017-06-11,434,195
2017-06-12,435,191
2017-06-13,474,219
2017-06-14,547,271
2017-06-15,520,226
2017-06-16,431,186
2017-06-17,288,134
2017-06-18,445,227
2017-06-19,358,172
2017-06-20,571,315
2017-06-21,589,315
2017-06-22,422,210
2017-06-23,398,200
2017-06-24,311,126
2017-06-25,355,171
2017-06-26,350,169
2017-06-27,465,211
2017-06-28,478,185
2017-06-29,354,166
2017-06-30,344,156
2017-07-01,335,164
2017-07-02,371,190
2017-07-03,372,171
2017-07-04,439,203
2017-07-05,422,211
2017-07-06,376,157
2017-07-07,278,136
2017-07-08,279,110
2017-07-09,396,178
2017-07-10,305,128
2017-07-11,528,289
2017-07-12,454,245
2017-07-13,403,183
2017-07-14,305,143
2017-07-15,309,153
2017-07-16,290,123
2017-07-17,368,199
2017-07-18,408,201
2017-07-19,376,180
2017-07-20,351,180
2017-07-21,326,138
2017-07-22,369,194
2017-07-23,321,167
2017-07-24,334,177
2017-07-25,410,200
2017-07-26,440,192
2017-07-27,394,199
2017-07-28,297,136
2017-07-29,249,126
2017-07-30,320,161
2017-07-31,341,167
2017-08-01,406,197
2017-08-02,390,167
2017-08-03,297,160
2017-08-04,356,162
2017-08-05,277,153
2017-08-06,331,161
2017-08-07,427,195
2017-08-08,405,182
2017-08-09,380,192
2017-08-10,396,194
2017-08-11,340,164
2017-08-12,277,139
2017-08-13,339,185
2017-08-14,342,184
2017-08-15,424,251
2017-08-16,466,223
2017-08-17,380,175
2017-08-18,319,126
2017-08-19,275,125
2017-08-20,325,179
2017-08-21,385,192
2017-08-22,444,235
2017-08-23,433,227
2017-08-24,430,220
2017-08-25,389,186
2017-08-26,310,136
2017-08-27,189,93
2017-08-28,463,201
2017-08-29,389,195
2017-08-30,368,168
2017-08-31,340,155
2017-09-01,265,128
2017-09-02,328,175
2017-09-03,320,159
2017-09-04,303,155
2017-09-05,383,182
2017-09-06,360,166
2017-09-07,400,198
2017-09-08,369,190
2017-09-09,248,132
2017-09-10,276,144
2017-09-11,305,151
2017-09-12,430,199
2017-09-13,431,207
2017-09-14,405,164
2017-09-15,336,149
2017-09-16,384,204
2017-09-17,374,202
2017-09-18,323,150
2017-09-19,486,259
2017-09-20,407,214
2017-09-21,376,203
2017-09-22,375,203
2017-09-23,359,191
2017-09-24,383,195
2017-09-25,370,181
2017-09-26,386,201
2017-09-27,448,227
2017-09-28,412,187
2017-09-29,312,162
2017-09-30,497,245
2017-10-01,454,233
2017-10-02,463,211
2017-10-03,344,187
2017-10-04,382,163
2017-10-05,453,215
2017-10-06,405,175
2017-10-07,294,161
2017-10-08,462,269
2017-10-09,455,195
2017-10-10,321,142
2017-10-11,631,274
2017-10-12,486,199
2017-10-13,366,139
2017-10-14,362,186
2017-10-15,476,216
2017-10-16,471,226
2017-10-17,544,270
2017-10-18,510,292
2017-10-19,404,238
2017-10-20,365,174
2017-10-21,276,148
2017-10-22,441,199
2017-10-23,406,187
2017-10-24,441,199
2017-10-25,358,170
2017-10-26,442,217
2017-10-27,337,144
2017-10-28,346,166
2017-10-29,499,226
2017-10-30,472,236
2017-10-31,434,199
2017-11-01,484,225
2017-11-02,416,176
2017-11-03,452,211
2017-11-04,427,213
2017-11-05,530,275
2017-11-06,516,259
2017-11-07,635,345
2017-11-08,581,290
2017-11-09,506,236
2017-11-10,484,231
2017-11-11,413,208
2017-11-12,515,277
2017-11-13,500,230
2017-11-14,430,210
2017-11-15,468,210
2017-11-16,438,190
2017-11-17,423,189
2017-11-18,455,234
2017-11-19,594,301
2017-11-20,470,212
2017-11-21,759,401
2017-11-22,704,394
2017-11-23,739,432
2017-11-24,754,422
2017-11-25,553,329
2017-11-26,1742,420
2017-11-27,438,208
2017-11-28,558,265
2017-11-29,659,323
2017-11-30,580,282
2017-12-01,605,257
2017-12-02,560,281
2017-12-03,649,322
2017-12-04,739,380
2017-12-05,664,294
2017-12-06,788,396
2017-12-07,800,381
2017-12-08,663,310
2017-12-09,696,342
2017-12-10,778,389
2017-12-11,789,358
2017-12-12,846,462
2017-12-13,777,358
2017-12-14,746,349
2017-12-15,638,286
2017-12-16,408,185
2017-12-17,685,349
2017-12-18,768,338
2017-12-19,744,285
2017-12-20,745,303
2017-12-21,723,293
2017-12-22,708,280
2017-12-23,549,238
2017-12-24,845,360
2017-12-25,912,375
2017-12-26,668,279
2017-12-27,462,204
2017-12-28,394,130
2017-12-29,374,157
2017-12-30,260,115
2017-12-31,184,95
2018-01-01,0,0
2018-01-02,0,0
2018-01-03,2,1
2018-01-04,0,0
2018-01-05,0,0
2018-01-06,0,0
2018-01-07,2,0
2018-01-08,15,13
2018-01-09,82,64
2018-01-10,69,49
2018-01-11,81,55
2018-01-12,112,70
2018-01-13,156,95
2018-01-14,324,180
2018-01-15,313,133
2018-01-16,295,149
2018-01-17,294,128
2018-01-18,424,183
2018-01-19,405,132
2018-01-20,377,119
2018-01-21,418,136
2018-01-22,309,100
2018-01-23,546,113
2018-01-24,535,93
2018-01-25,474,65
2018-01-26,502,54
2018-01-27,439,32
2018-01-28,516,39
2018-01-29,536,35
2018-01-30,637,3
2018-01-31,607,0
2018-02-01,549,282
2018-02-02,484,265
2018-02-03,491,268
2018-02-04,673,337
2018-02-05,590,285
2018-02-06,669,336
2018-02-07,611,301
2018-02-08,681,340
2018-02-09,512,221
2018-02-10,573,325
2018-02-11,663,346
2018-02-12,575,301
2018-02-13,627,310
2018-02-14,598,319
